
epoch: 48, VF: 7.40e+00, DVF: 1.23e-02, FH: 1.11e+00, DFH: 3.91e-04, bias_cov: 6.74e+00, Dbias_cov: 1.67e-05, bias_vis: 3.26e-01, Dbias_vis: 6.44e-05, wm: 4.83e+00, Dwm: 1.45e-03, bm: 6.57e+00, Dbm: 8.40e-05, step: 2.50e-01, rej: 3.44e-02
epoch: 49, VF: 7.48e+00, DVF: 1.30e-02, FH: 1.10e+00, DFH: 3.88e-04, bias_cov: 6.74e+00, Dbias_cov: 1.65e-05, bias_vis: 3.29e-01, Dbias_vis: 9.50e-05, wm: 4.85e+00, Dwm: 2.03e-03, bm: 6.58e+00, Dbm: 1.43e-04, step: 2.50e-01, rej: 3.66e-02
epoch: 50, VF: 7.55e+00, DVF: 1.42e-02, FH: 1.09e+00, DFH: 3.97e-04, bias_cov: 6.75e+00, Dbias_cov: 1.68e-05, bias_vis: 3.31e-01, Dbias_vis: 1.04e-04, wm: 4.86e+00, Dwm: 2.39e-03, bm: 6.58e+00, Dbm: 1.44e-04, step: 2.50e-01, rej: 3.54e-02
epoch: 51, VF: 7.62e+00, DVF: 1.35e-02, FH: 1.08e+00, DFH: 4.04e-04, bias_cov: 6.75e+00, Dbias_cov: 1.76e-05, bias_vis: 3.34e-01, Dbias_vis: 6.77e-05, wm: 4.88e+00, Dwm: 1.74e-03, bm: 6.59e+00, Dbm: 6.04e-05, step: 2.50e-01, rej: 3.17e-02
epoch: 52, VF: 7.70e+00, DVF: 1.19e-02, FH: 1.07e+00, DFH: 3.68e-04, bias_cov: 6.75e+00, Dbias_cov: 1.55e-05, bias_vis: 3.37e-01, Dbias_vis: 7.50e-05, wm: 4.89e+00, Dwm: 2.02e-03, bm: 6.59e+00, Dbm: 1.13e-04, step: 2.50e-01, rej: 3.29e-02
epoch: 53, VF: 7.77e+00, DVF: 1.26e-02, FH: 1.06e+00, DFH: 3.95e-04, bias_cov: 6.75e+00, Dbias_cov: 1.69e-05, bias_vis: 3.40e-01, Dbias_vis: 5.87e-05, wm: 4.91e+00, Dwm: 1.17e-03, bm: 6.60e+00, Dbm: 1.17e-04, step: 2.50e-01, rej: 3.79e-02
epoch: 54, VF: 7.84e+00, DVF: 1.26e-02, FH: 1.06e+00, DFH: 4.01e-04, bias_cov: 6.76e+00, Dbias_cov: 1.71e-05, bias_vis: 3.43e-01, Dbias_vis: 6.60e-05, wm: 4.93e+00, Dwm: 1.14e-03, bm: 6.60e+00, Dbm: 4.10e-05, step: 2.50e-01, rej: 4.03e-02
epoch: 55, VF: 7.91e+00, DVF: 1.34e-02, FH: 1.05e+00, DFH: 3.98e-04, bias_cov: 6.76e+00, Dbias_cov: 1.68e-05, bias_vis: 3.45e-01, Dbias_vis: 1.38e-04, wm: 4.94e+00, Dwm: 2.96e-03, bm: 6.60e+00, Dbm: 2.18e-04, step: 2.50e-01, rej: 3.96e-02
epoch: 56, VF: 7.98e+00, DVF: 1.42e-02, FH: 1.05e+00, DFH: 3.93e-04, bias_cov: 6.76e+00, Dbias_cov: 1.65e-05, bias_vis: 3.48e-01, Dbias_vis: 1.56e-04, wm: 4.95e+00, Dwm: 3.17e-03, bm: 6.61e+00, Dbm: 2.38e-04, step: 2.50e-01, rej: 4.01e-02
epoch: 57, VF: 8.06e+00, DVF: 1.36e-02, FH: 1.04e+00, DFH: 4.04e-04, bias_cov: 6.76e+00, Dbias_cov: 1.74e-05, bias_vis: 3.51e-01, Dbias_vis: 1.26e-04, wm: 4.97e+00, Dwm: 2.76e-03, bm: 6.61e+00, Dbm: 2.40e-04, step: 2.50e-01, rej: 3.67e-02
epoch: 58, VF: 8.13e+00, DVF: 1.26e-02, FH: 1.04e+00, DFH: 4.26e-04, bias_cov: 6.77e+00, Dbias_cov: 1.85e-05, bias_vis: 3.54e-01, Dbias_vis: 9.19e-05, wm: 4.98e+00, Dwm: 2.31e-03, bm: 6.62e+00, Dbm: 1.28e-04, step: 2.50e-01, rej: 4.09e-02
epoch: 59, VF: 8.20e+00, DVF: 1.33e-02, FH: 1.03e+00, DFH: 3.77e-04, bias_cov: 6.77e+00, Dbias_cov: 1.58e-05, bias_vis: 3.57e-01, Dbias_vis: 7.93e-05, wm: 4.99e+00, Dwm: 1.96e-03, bm: 6.62e+00, Dbm: 1.07e-04, step: 2.50e-01, rej: 4.09e-02
epoch: 60, VF: 8.27e+00, DVF: 1.15e-02, FH: 1.03e+00, DFH: 4.11e-04, bias_cov: 6.77e+00, Dbias_cov: 1.75e-05, bias_vis: 3.59e-01, Dbias_vis: 1.22e-04, wm: 5.00e+00, Dwm: 2.56e-03, bm: 6.63e+00, Dbm: 1.86e-04, step: 2.50e-01, rej: 4.29e-02
epoch: 61, VF: 8.34e+00, DVF: 1.26e-02, FH: 1.03e+00, DFH: 3.93e-04, bias_cov: 6.77e+00, Dbias_cov: 1.66e-05, bias_vis: 3.63e-01, Dbias_vis: 8.56e-05, wm: 5.01e+00, Dwm: 1.54e-03, bm: 6.63e+00, Dbm: 9.69e-05, step: 2.50e-01, rej: 3.76e-02
epoch: 62, VF: 8.41e+00, DVF: 1.28e-02, FH: 1.02e+00, DFH: 4.06e-04, bias_cov: 6.78e+00, Dbias_cov: 1.72e-05, bias_vis: 3.65e-01, Dbias_vis: 1.29e-04, wm: 5.03e+00, Dwm: 2.69e-03, bm: 6.64e+00, Dbm: 2.04e-04, step: 2.50e-01, rej: 4.41e-02
epoch: 63, VF: 8.48e+00, DVF: 1.23e-02, FH: 1.02e+00, DFH: 3.99e-04, bias_cov: 6.78e+00, Dbias_cov: 1.68e-05, bias_vis: 3.69e-01, Dbias_vis: 1.18e-04, wm: 5.03e+00, Dwm: 2.40e-03, bm: 6.64e+00, Dbm: 1.84e-04, step: 2.50e-01, rej: 4.38e-02
epoch: 64, VF: 8.55e+00, DVF: 1.37e-02, FH: 1.02e+00, DFH: 4.22e-04, bias_cov: 6.78e+00, Dbias_cov: 1.81e-05, bias_vis: 3.72e-01, Dbias_vis: 1.35e-04, wm: 5.04e+00, Dwm: 2.91e-03, bm: 6.65e+00, Dbm: 2.14e-04, step: 2.50e-01, rej: 4.97e-02
epoch: 65, VF: 8.61e+00, DVF: 1.26e-02, FH: 1.02e+00, DFH: 4.13e-04, bias_cov: 6.78e+00, Dbias_cov: 1.76e-05, bias_vis: 3.74e-01, Dbias_vis: 1.84e-04, wm: 5.05e+00, Dwm: 3.75e-03, bm: 6.65e+00, Dbm: 2.93e-04, step: 2.50e-01, rej: 4.75e-02
epoch: 66, VF: 8.68e+00, DVF: 1.20e-02, FH: 1.01e+00, DFH: 4.09e-04, bias_cov: 6.79e+00, Dbias_cov: 1.74e-05, bias_vis: 3.78e-01, Dbias_vis: 1.19e-04, wm: 5.06e+00, Dwm: 2.53e-03, bm: 6.66e+00, Dbm: 1.87e-04, step: 2.50e-01, rej: 4.88e-02
